iter	Passed	Remaining
0	0	215
1	0	199
2	0	199
3	0	195
4	1	194
5	1	199
6	1	209
7	2	207
8	2	211
9	2	210
10	2	211
11	3	208
12	3	208
13	3	209
14	3	207
15	4	205
16	4	204
17	4	207
18	4	210
19	5	210
20	5	209
21	5	208
22	5	207
23	6	206
24	6	207
25	6	207
26	6	206
27	7	206
28	7	205
29	7	205
30	7	204
31	8	204
32	8	203
33	8	203
34	8	202
35	9	202
36	9	201
37	9	200
38	9	200
39	10	201
40	10	200
41	10	200
42	10	199
43	11	199
44	11	199
45	11	199
46	11	198
47	12	198
48	12	198
49	12	197
50	12	197
51	13	197
52	13	196
53	13	195
54	13	198
55	14	198
56	14	198
57	14	197
58	14	197
59	15	196
60	15	196
61	15	195
62	15	195
63	16	195
64	16	194
65	16	194
66	16	194
67	17	193
68	17	193
69	17	193
70	17	192
71	18	192
72	18	192
73	18	191
74	18	191
75	19	191
76	19	191
77	19	190
78	19	190
79	20	190
80	20	189
81	20	189
82	20	189
83	21	189
84	21	188
85	21	188
86	21	187
87	22	187
88	22	187
89	22	187
90	22	187
91	23	187
92	23	186
93	23	186
94	23	185
95	23	185
96	24	184
97	24	184
98	24	184
99	25	184
100	25	184
101	25	184
102	25	184
103	26	183
104	26	183
105	26	183
106	26	182
107	27	182
108	27	182
109	27	182
110	27	181
111	28	181
112	28	181
113	28	181
114	28	180
115	29	180
116	29	180
117	29	179
118	29	179
119	29	179
120	30	178
121	30	179
122	30	178
123	31	178
124	31	178
125	31	177
126	31	177
127	31	177
128	32	176
129	32	176
130	32	176
131	32	176
132	33	175
133	33	176
134	33	175
135	34	175
136	34	175
137	34	174
138	34	175
139	35	175
140	35	175
141	35	175
142	36	175
143	36	174
144	36	174
145	36	174
146	37	174
147	37	173
148	37	173
149	37	173
150	38	172
151	38	172
152	38	172
153	38	171
154	39	171
155	39	171
156	39	171
157	39	171
158	40	170
159	40	170
160	40	170
161	40	169
162	40	169
163	41	169
164	41	169
165	41	168
166	41	168
167	42	168
168	42	167
169	42	167
170	42	167
171	43	166
172	43	166
173	43	166
174	43	165
175	44	165
176	44	165
177	44	165
178	44	164
179	45	164
180	45	164
181	45	163
182	45	163
183	46	163
184	46	162
185	46	162
186	46	162
187	46	162
188	48	167
189	49	167
190	49	167
191	49	166
192	49	166
193	50	166
194	50	166
195	50	166
196	51	165
197	51	165
198	51	164
199	51	164
200	51	164
201	52	164
202	52	163
203	52	163
204	52	162
205	53	162
206	53	162
207	53	162
208	53	161
209	54	161
210	54	161
211	54	160
212	54	160
213	54	160
214	55	159
215	55	159
216	55	159
217	55	158
218	56	158
219	56	158
220	56	157
221	56	157
222	57	157
223	57	156
224	57	156
225	57	156
226	58	156
227	58	155
228	58	155
229	58	155
230	59	155
231	59	154
232	59	154
233	59	153
234	60	153
235	60	153
236	60	153
237	60	152
238	60	152
239	61	152
240	61	151
241	61	151
242	61	151
243	62	150
244	62	150
245	62	150
246	62	149
247	62	149
248	63	149
249	63	148
250	63	148
251	63	148
252	64	148
253	64	147
254	64	147
255	64	147
256	65	146
257	65	146
258	65	146
259	65	145
260	66	145
261	66	145
262	66	145
263	66	144
264	66	144
265	67	144
266	67	144
267	67	143
268	67	143
269	68	143
270	68	142
271	68	142
272	68	142
273	69	142
274	69	141
275	69	141
276	69	141
277	70	140
278	70	140
279	70	140
280	70	140
281	71	139
282	71	139
283	71	139
284	71	139
285	72	138
286	72	138
287	72	138
288	72	138
289	73	137
290	73	137
291	73	137
292	73	136
293	73	136
294	74	136
295	74	136
296	74	135
297	74	135
298	75	135
299	75	135
300	75	134
301	76	134
302	76	134
303	76	134
304	76	133
305	76	133
306	77	133
307	77	132
308	77	132
309	77	132
310	78	132
311	78	131
312	78	131
313	78	131
314	79	131
315	79	130
316	79	130
317	79	130
318	80	130
319	80	129
320	80	129
321	80	129
322	81	129
323	81	128
324	81	128
325	81	128
326	82	127
327	82	127
328	82	127
329	82	127
330	83	126
331	83	126
332	83	126
333	83	126
334	84	125
335	84	125
336	84	125
337	84	124
338	84	124
339	85	124
340	85	124
341	85	123
342	85	123
343	86	123
344	86	123
345	86	122
346	86	122
347	86	122
348	87	121
349	87	121
350	87	121
351	87	120
352	88	120
353	88	120
354	88	120
355	88	119
356	88	119
357	89	119
358	89	119
359	89	118
360	89	118
361	90	118
362	90	117
363	90	117
364	90	117
365	90	117
366	91	116
367	91	116
368	91	116
369	91	116
370	92	115
371	92	115
372	92	115
373	92	115
374	93	114
375	93	114
376	93	114
377	93	113
378	94	113
379	94	113
380	94	113
381	94	113
382	95	112
383	95	112
384	95	112
385	95	112
386	96	111
387	96	111
388	96	111
389	96	110
390	97	110
391	97	110
392	97	110
393	97	109
394	97	109
395	98	109
396	98	109
397	98	108
398	98	108
399	99	108
400	99	108
401	99	107
402	99	107
403	100	107
404	100	107
405	100	106
406	100	106
407	100	106
408	101	105
409	101	105
410	101	105
411	101	105
412	102	104
413	102	104
414	102	104
415	102	104
416	103	104
417	103	103
418	103	103
419	103	103
420	104	102
421	104	102
422	104	102
423	104	102
424	105	101
425	105	101
426	105	101
427	105	101
428	106	100
429	106	100
430	106	100
431	106	100
432	107	99
433	107	99
434	107	99
435	107	99
436	108	98
437	108	98
438	108	98
439	108	98
440	108	97
441	109	97
442	109	97
443	109	97
444	109	96
445	110	96
446	110	96
447	110	95
448	110	95
449	110	95
450	111	95
451	111	94
452	111	94
453	111	94
454	112	94
455	112	93
456	112	93
457	112	93
458	113	93
459	113	92
460	113	92
461	113	92
462	113	92
463	114	91
464	114	91
465	114	91
466	114	90
467	115	90
468	115	90
469	115	90
470	115	89
471	115	89
472	116	89
473	116	89
474	116	88
475	116	88
476	117	88
477	117	88
478	117	87
479	117	87
480	118	87
481	118	87
482	118	86
483	118	86
484	119	86
485	119	86
486	119	85
487	119	85
488	120	85
489	120	85
490	120	84
491	120	84
492	121	84
493	121	84
494	121	83
495	121	83
496	122	83
497	122	83
498	122	82
499	122	82
500	122	82
501	123	82
502	123	81
503	123	81
504	123	81
505	124	81
506	124	80
507	124	80
508	124	80
509	125	80
510	125	80
511	125	79
512	125	79
513	126	79
514	126	79
515	126	78
516	126	78
517	127	78
518	127	78
519	127	77
520	127	77
521	127	77
522	128	76
523	128	76
524	128	76
525	128	76
526	129	76
527	129	75
528	129	75
529	129	75
530	130	75
531	130	74
532	130	74
533	130	74
534	131	74
535	131	73
536	131	73
537	131	73
538	132	73
539	132	72
540	132	72
541	132	72
542	133	72
543	133	71
544	133	71
545	133	71
546	134	71
547	134	70
548	134	70
549	134	70
550	134	70
551	135	69
552	135	69
553	135	69
554	135	69
555	136	68
556	136	68
557	136	68
558	136	68
559	137	67
560	137	67
561	137	67
562	137	67
563	138	66
564	138	66
565	138	66
566	138	66
567	138	65
568	139	65
569	139	65
570	139	65
571	139	64
572	140	64
573	140	64
574	140	64
575	140	63
576	141	63
577	141	63
578	141	63
579	141	62
580	141	62
581	142	62
582	142	62
583	142	61
584	142	61
585	143	61
586	143	61
587	143	60
588	143	60
589	144	60
590	144	60
591	144	59
592	144	59
593	145	59
594	145	59
595	145	58
596	145	58
597	145	58
598	146	58
599	146	57
600	146	57
601	146	57
602	147	57
603	147	56
604	147	56
605	147	56
606	148	56
607	148	55
608	148	55
609	148	55
610	148	55
611	149	54
612	149	54
613	149	54
614	149	54
615	150	53
616	150	53
617	150	53
618	150	53
619	151	52
620	151	52
621	151	52
622	151	52
623	152	51
624	152	51
625	152	51
626	152	51
627	153	50
628	153	50
629	153	50
630	153	50
631	154	49
632	154	49
633	154	49
634	154	49
635	155	48
636	155	48
637	155	48
638	155	48
639	156	48
640	156	47
641	156	47
642	156	47
643	156	47
644	157	46
645	157	46
646	157	46
647	157	46
648	158	45
649	158	45
650	158	45
651	158	45
652	159	44
653	159	44
654	159	44
